FILE_NAME,CATEGORY,TOTAL_TOKENS(excluding_spaces),TOTAL_SENTENCES,TOTAL_LINES,TOTAL_WORDS,UNIQUE_WORDS
Cooperative-societies-in-agricultural-sector.txt,Agri-Credit,1647,53,89,1647,598
Interest-subvention-scheme-for-farmers.txt,Agri-Credit,1152,37,51,1152,392
Priority-sector-lending.txt,Agri-Credit,3207,96,238,3207,721
Revised-Kisan-Credit-Card-Scheme.txt,Agri-Credit,2480,79,174,2480,795
20th-Livestock-Census.txt,Agri-Directory,3061,100,977,3061,878
Agricultural-Technology-Information-Centre.txt,Agri-Directory,1165,8,98,1165,365
Basic-Animal-Husbandry-Statistics.txt,Agri-Directory,572,20,36,572,210
Commodity-Boards.txt,Agri-Directory,0,0,1,0,0
Globally-Important-Agricultural-Heritage-Systems-in-India.txt,Agri-Directory,577,22,30,577,290
ICAR-institutes-_-Universities.txt,Agri-Directory,1198,16,338,1198,611
Indicative-Unit-Cost-Of-Investment-In-Agriculture-And-Allied-Activities.txt,Agri-Directory,36,1,3,36,24
Input-agencies.txt,Agri-Directory,0,0,1,0,0
International-Organisations.txt,Agri-Directory,2,1,1,2,2
Krishi-Vigyan-Kendras.txt,Agri-Directory,708,18,35,708,310
Locate-your-nearest-Warehouse.txt,Agri-Directory,204,6,21,204,97
National-Farmers-Day.txt,Agri-Directory,541,28,27,541,252
National-Fish-Farmers-Day.txt,Agri-Directory,598,16,35,598,278
Related-Ministries.txt,Agri-Directory,0,0,1,0,0
Related-portals.txt,Agri-Directory,0,0,1,0,0
State-Agriculture-departments.txt,Agri-Directory,0,0,1,0,0
State-of-Food-and-Agriculture.txt,Agri-Directory,765,26,30,765,344
State-of-World-Fisheries-and-Aquaculture.txt,Agri-Directory,1426,46,27,1426,538
The-State-of-Food-Security-and-Nutrition-in-the-World.txt,Agri-Directory,1457,43,47,1457,512
The-State-of-the-World’s-Biodiversity-for-Food-and-Agriculture.txt,Agri-Directory,702,23,28,702,245
Unified-Portal-for-Agricultural-Statistics.txt,Agri-Directory,543,21,30,543,237
World-Cotton-Day.txt,Agri-Directory,835,33,37,835,364
World-Fisheries-Day.txt,Agri-Directory,268,7,21,268,129
World-Food-Day-.txt,Agri-Directory,745,29,45,745,346
World-Milk-Day.txt,Agri-Directory,368,14,21,368,185
World-Veterinary-Day.txt,Agri-Directory,464,13,18,464,208
Agri-commodities-for-export.txt,Agri-Exports,1805,56,351,1805,681
Agriculture-Export-Policy-2018.txt,Agri-Exports,907,32,44,907,408
Export-of-Agricultural-and-processed-food-products.txt,Agri-Exports,184,17,30,184,87
Export-policy-of-broken-rice-amended-to-ensure-adequate-domestic-availability.txt,Agri-Exports,986,27,27,986,359
Guidelines-on-quality-improvement-of-Black-Pepper.txt,Agri-Exports,1278,64,54,1278,494
Kasturi-Cotton-India.txt,Agri-Exports,438,12,16,438,226
Sea-Protocol--Exporting-Nendran-Banana.txt,Agri-Exports,1933,82,126,1933,755
Tiny-but-wealthy-sesame.txt,Agri-Exports,1738,69,122,1738,643
Actinomycetes-for-effective-management-of-plant-diseases-and-nematodes.txt,Agri-Inputs,1197,71,148,1197,506
Ant-traps.txt,Agri-Inputs,91,5,14,91,68
Bioagents-for-Management-of-Plant-Parasitic-Nematodes.txt,Agri-Inputs,979,35,115,979,451
Biofertilizers.txt,Agri-Inputs,1595,86,120,1595,592
Bird-percher.txt,Agri-Inputs,152,9,11,152,92
Blue-sticky-traps.txt,Agri-Inputs,246,16,37,246,118
Botanicals.txt,Agri-Inputs,369,22,71,369,177
Bracon-Pupal-cards.txt,Agri-Inputs,321,13,13,321,185
Brown-manuring.txt,Agri-Inputs,910,39,28,910,402
Classes-of-seeds.txt,Agri-Inputs,498,19,41,498,190
Compost-from-farm-waste.txt,Agri-Inputs,2056,109,66,2056,640
Compost-from-Parthenium.txt,Agri-Inputs,1160,58,82,1160,463
Crop-varieties-in-India.txt,Agri-Inputs,201,4,31,201,75
Dasagavya.txt,Agri-Inputs,372,15,20,372,206
Delta-Sticky-traps.txt,Agri-Inputs,140,8,15,140,98
Drip-irrigation-system.txt,Agri-Inputs,2166,105,184,2166,854
FAQs-on-Plant-Tissue-culture.txt,Agri-Inputs,1158,61,79,1158,433
